Kode,Nama,Kota
17.05.09,SELUMA TIMUR,KAB. SELUMA
17.05.10,SELUMA UTARA,KAB. SELUMA
17.05.11,SELUMA SELATAN,KAB. SELUMA
17.05.12,TALO KECIL,KAB. SELUMA
17.05.13,ULU TALO,KAB. SELUMA
17.05.14,ILIR TALO,KAB. SELUMA
17.06.01,LUBUK PINANG,KAB. MUKO MUKO
17.06.02,KOTA MUKOMUKO,KAB. MUKO MUKO
17.06.03,TERAS TERUNJAM,KAB. MUKO MUKO
17.06.04,PONDOK SUGUH,KAB. MUKO MUKO
17.06.05,IPUH,KAB. MUKO MUKO
17.06.06,MALIN DEMAN,KAB. MUKO MUKO
17.06.07,AIR RAMI,KAB. MUKO MUKO
17.06.08,TERAMANG JAYA,KAB. MUKO MUKO
17.06.09,SELAGAN RAYA,KAB. MUKO MUKO
17.06.10,PENARIK,KAB. MUKO MUKO
17.06.11,XIV KOTO,KAB. MUKO MUKO
17.06.12,V KOTO,KAB. MUKO MUKO
17.06.13,AIR MAJUNTO,KAB. MUKO MUKO
17.06.14,AIR DIKIT,KAB. MUKO MUKO
17.06.15,SUNGAI RUMBAI,KAB. MUKO MUKO
17.07.01,LEBONG UTARA,KAB. LEBONG
17.07.02,LEBONG ATAS,KAB. LEBONG
17.07.03,LEBONG TENGAH,KAB. LEBONG
17.07.04,LEBONG SELATAN,KAB. LEBONG
17.07.05,RIMBO PENGADANG,KAB. LEBONG
17.07.06,TOPOS,KAB. LEBONG
17.07.07,BINGIN KUNING,KAB. LEBONG
17.07.08,LEBONG SAKTI,KAB. LEBONG
17.07.09,PELABAI,KAB. LEBONG
17.07.10,AMEN,KAB. LEBONG
17.07.11,URAM JAYA,KAB. LEBONG
17.07.12,PINANG BELAPIS,KAB. LEBONG
17.08.01,BERMANI ILIR,KAB. KEPAHIANG
17.08.02,UJAN MAS,KAB. KEPAHIANG
17.08.03,TEBAT KARAI,KAB. KEPAHIANG
17.08.04,KEPAHIANG,KAB. KEPAHIANG
17.08.05,MERIGI,KAB. KEPAHIANG
17.08.06,KEBAWETAN,KAB. KEPAHIANG
17.08.07,SEBERANG MUSI,KAB. KEPAHIANG
17.08.08,MUARA KEMUMU,KAB. KEPAHIANG
17.09.01,KARANG TINGGI,KAB. BENGKULU TENGAH
17.09.02,TALANG EMPAT,KAB. BENGKULU TENGAH
17.09.03,PONDOK KELAPA,KAB. BENGKULU TENGAH
17.09.04,PEMATANG TIGA,KAB. BENGKULU TENGAH
17.09.05,PAGAR JATI,KAB. BENGKULU TENGAH
17.09.06,TABA PENANJUNG,KAB. BENGKULU TENGAH
17.09.07,MERIGI KELINDANG,KAB. BENGKULU TENGAH
17.09.08,MERIGI SAKTI,KAB. BENGKULU TENGAH
17.09.09,PONDOK KUBANG,KAB. BENGKULU TENGAH
17.09.10,BANG HAJI,KAB. BENGKULU TENGAH
17.09.11,SEMIDANG LAGAN,KAB. BENGKULU TENGAH
17.71.01,SELEBAR,KOTA BENGKULU
17.71.02,GADING CEMPAKA,KOTA BENGKULU
17.71.03,TELUK SEGARA,KOTA BENGKULU
17.71.04,MUARA BANGKA HULU,KOTA BENGKULU
17.71.05,KAMPUNG MELAYU,KOTA BENGKULU
17.71.06,RATU AGUNG,KOTA BENGKULU
17.71.07,RATU SAMBAN,KOTA BENGKULU
17.71.08,SUNGAI SERUT,KOTA BENGKULU
17.71.09,SINGARAN PATI,KOTA BENGKULU
18.01.04,NATAR,KAB. LAMPUNG SELATAN
18.01.05,TANJUNG BINTANG,KAB. LAMPUNG SELATAN
18.01.06,KALIANDA,KAB. LAMPUNG SELATAN
18.01.07,SIDOMULYO,KAB. LAMPUNG SELATAN
18.01.08,KATIBUNG,KAB. LAMPUNG SELATAN
18.01.09,PENENGAHAN,KAB. LAMPUNG SELATAN
18.01.10,PALAS,KAB. LAMPUNG SELATAN
18.01.13,JATI AGUNG,KAB. LAMPUNG SELATAN
18.01.14,KETAPANG,KAB. LAMPUNG SELATAN
18.01.15,SRAGI,KAB. LAMPUNG SELATAN
18.01.16,RAJA BASA,KAB. LAMPUNG SELATAN
18.01.17,CANDIPURO,KAB. LAMPUNG SELATAN
18.01.18,MERBAU MATARAM,KAB. LAMPUNG SELATAN
18.01.21,BAKAUHENI,KAB. LAMPUNG SELATAN
18.01.22,TANJUNG SARI,KAB. LAMPUNG SELATAN
18.01.23,WAY SULAN,KAB. LAMPUNG SELATAN
18.01.24,WAY PANJI,KAB. LAMPUNG SELATAN
18.02.01,KALIREJO,KAB. LAMPUNG TENGAH
18.02.02,BANGUN REJO,KAB. LAMPUNG TENGAH
18.02.03,PADANG RATU,KAB. LAMPUNG TENGAH
18.02.04,GUNUNG SUGIH,KAB. LAMPUNG TENGAH
18.02.05,TRIMURJO,KAB. LAMPUNG TENGAH
18.02.06,PUNGGUR,KAB. LAMPUNG TENGAH
18.02.07,TERBANGGI BESAR,KAB. LAMPUNG TENGAH
18.02.08,SEPUTIH RAMAN,KAB. LAMPUNG TENGAH
18.02.09,RUMBIA,KAB. LAMPUNG TENGAH
18.02.10,SEPUTIH BANYAK,KAB. LAMPUNG TENGAH
18.02.11,SEPUTIH MATARAM,KAB. LAMPUNG TENGAH
18.02.12,SEPUTIH SURABAYA,KAB. LAMPUNG TENGAH
18.02.13,TERUSAN NUNYAI,KAB. LAMPUNG TENGAH
18.02.14,BUMI RATU NUBAN,KAB. LAMPUNG TENGAH
18.02.15,BEKRI,KAB. LAMPUNG TENGAH
18.02.16,SEPUTIH AGUNG,KAB. LAMPUNG TENGAH
18.02.17,WAY PANGUBUAN,KAB. LAMPUNG TENGAH
18.02.18,BANDAR MATARAM,KAB. LAMPUNG TENGAH
18.02.19,PUBIAN,KAB. LAMPUNG TENGAH
18.02.20,SELAGAI LINGGA,KAB. LAMPUNG TENGAH
18.02.21,ANAK TUHA,KAB. LAMPUNG TENGAH
18.02.22,SENDANG AGUNG,KAB. LAMPUNG TENGAH
18.02.23,KOTA GAJAH,KAB. LAMPUNG TENGAH
18.02.24,BUMI NABUNG,KAB. LAMPUNG TENGAH
18.02.25,WAY SEPUTIH,KAB. LAMPUNG TENGAH
18.02.26,BANDAR SURABAYA,KAB. LAMPUNG TENGAH
18.02.27,ANAK RATU AJI,KAB. LAMPUNG TENGAH
18.02.28,PUTRA RUMBIA,KAB. LAMPUNG TENGAH
18.03.01,BUKIT KEMUNING,KAB. LAMPUNG UTARA
18.03.02,KOTABUMI,KAB. LAMPUNG UTARA
18.03.03,SUNGKAI SELATAN,KAB. LAMPUNG UTARA
18.03.04,TANJUNG RAJA,KAB. LAMPUNG UTARA
18.03.05,ABUNG TIMUR,KAB. LAMPUNG UTARA
18.03.06,ABUNG BARAT,KAB. LAMPUNG UTARA
18.03.07,ABUNG SELATAN,KAB. LAMPUNG UTARA
18.03.08,SUNGKAI UTARA,KAB. LAMPUNG UTARA
18.03.09,KOTABUMI UTARA,KAB. LAMPUNG UTARA
18.03.10,KOTABUMI SELATAN,KAB. LAMPUNG UTARA
18.03.11,ABUNG TENGAH,KAB. LAMPUNG UTARA
18.03.12,ABUNG TINGGI,KAB. LAMPUNG UTARA
18.03.13,ABUNG SEMULI,KAB. LAMPUNG UTARA
18.03.14,ABUNG SURAKARTA,KAB. LAMPUNG UTARA
18.03.15,MUARA SUNGKAI,KAB. LAMPUNG UTARA
18.03.16,BUNGA MAYANG,KAB. LAMPUNG UTARA
18.03.17,HULU SUNGKAI,KAB. LAMPUNG UTARA
18.03.18,SUNGKAI TENGAH,KAB. LAMPUNG UTARA
18.03.19,ABUNG PEKURUN,KAB. LAMPUNG UTARA
18.03.20,SUNGKAI JAYA,KAB. LAMPUNG UTARA
18.03.21,SUNGKAI BARAT,KAB. LAMPUNG UTARA
18.03.22,ABUNG KUNANG,KAB. LAMPUNG UTARA
18.03.23,BLAMBANGAN PAGAR,KAB. LAMPUNG UTARA
18.04.04,BALIK BUKIT,KAB. LAMPUNG BARAT
18.04.05,SUMBER JAYA,KAB. LAMPUNG BARAT
18.04.06,BELALAU,KAB. LAMPUNG BARAT
18.04.07,WAY TENONG,KAB. LAMPUNG BARAT
18.04.08,SEKINCAU,KAB. LAMPUNG BARAT
18.04.09,SUOH,KAB. LAMPUNG BARAT
18.04.10,BATU BRAK,KAB. LAMPUNG BARAT
18.04.11,SUKAU,KAB. LAMPUNG BARAT
18.04.15,GEDUNG SURIAN,KAB. LAMPUNG BARAT
18.04.18,KEBUN TEBU,KAB. LAMPUNG BARAT
18.04.19,AIR HITAM,KAB. LAMPUNG BARAT
18.04.20,PAGAR DEWA,KAB. LAMPUNG BARAT
18.04.21,BATU KETULIS,KAB. LAMPUNG BARAT
18.04.22,LUMBOK SEMINUNG,KAB. LAMPUNG BARAT
18.04.23,BANDAR NEGERI SUOH,KAB. LAMPUNG BARAT
18.05.02,MENGGALA,KAB. TULANG BAWANG
18.05.06,GEDUNG AJI,KAB. TULANG BAWANG
18.05.08,BANJAR AGUNG,KAB. TULANG BAWANG
18.05.11,GEDUNG MENENG,KAB. TULANG BAWANG
18.05.12,RAWA JITU SELATAN,KAB. TULANG BAWANG
18.05.13,PENAWAR TAMA,KAB. TULANG BAWANG
18.05.18,RAWA JITU TIMUR,KAB. TULANG BAWANG
18.05.20,BANJAR MARGO,KAB. TULANG BAWANG
18.05.22,RAWA PITU,KAB. TULANG BAWANG
18.05.23,PENAWAR AJI,KAB. TULANG BAWANG
18.05.25,DENTE TELADAS,KAB. TULANG BAWANG
18.05.26,MERAKSA AJI,KAB. TULANG BAWANG
18.05.27,GEDUNG AJI BARU,KAB. TULANG BAWANG
18.05.29,BANJAR BARU,KAB. TULANG BAWANG
18.05.30,MENGGALA TIMUR,KAB. TULANG BAWANG
18.06.01,KOTA AGUNG,KAB. TANGGAMUS
18.06.02,TALANG PADANG,KAB. TANGGAMUS
18.06.03,WONOSOBO,KAB. TANGGAMUS
18.06.04,PULAU PANGGUNG,KAB. TANGGAMUS
18.06.09,CUKUH BALAK,KAB. TANGGAMUS
18.06.11,PUGUNG,KAB. TANGGAMUS
18.06.12,SEMAKA,KAB. TANGGAMUS
18.06.13,SUMBER REJO,KAB. TANGGAMUS
18.06.15,ULU BELU,KAB. TANGGAMUS
18.06.16,PEMATANG SAWA,KAB. TANGGAMUS
18.06.17,KLUMBAYAN,KAB. TANGGAMUS
18.06.18,KOTA AGUNG BARAT,KAB. TANGGAMUS
18.06.19,KOTA AGUNG TIMUR,KAB. TANGGAMUS
18.06.20,GISTING,KAB. TANGGAMUS
18.06.21,GUNUNG ALIP,KAB. TANGGAMUS
18.06.24,LIMAU,KAB. TANGGAMUS
18.06.25,BANDAR NEGERI SEMUONG,KAB. TANGGAMUS
18.06.26,AIR NANINGAN,KAB. TANGGAMUS
18.06.27,BULOK,KAB. TANGGAMUS
18.06.28,KLUMBAYAN BARAT,KAB. TANGGAMUS
18.07.01,SUKADANA,KAB. LAMPUNG TIMUR
18.07.02,LABUHAN MARINGGAI,KAB. LAMPUNG TIMUR
18.07.03,JABUNG,KAB. LAMPUNG TIMUR
18.07.04,PEKALONGAN,KAB. LAMPUNG TIMUR
18.07.05,SEKAMPUNG,KAB. LAMPUNG TIMUR
18.07.06,BATANGHARI,KAB. LAMPUNG TIMUR
18.07.07,WAY JEPARA,KAB. LAMPUNG TIMUR
18.07.08,PURBOLINGGO,KAB. LAMPUNG TIMUR
18.07.09,RAMAN UTARA,KAB. LAMPUNG TIMUR
18.07.10,METRO KIBANG,KAB. LAMPUNG TIMUR
18.07.11,MARGA TIGA,KAB. LAMPUNG TIMUR
18.07.12,SEKAMPUNG UDIK,KAB. LAMPUNG TIMUR
18.07.13,BATANGHARI NUBAN,KAB. LAMPUNG TIMUR
18.07.14,BUMI AGUNG,KAB. LAMPUNG TIMUR
18.07.15,BANDAR SRIBAWONO,KAB. LAMPUNG TIMUR
18.07.16,MATARAM BARU,KAB. LAMPUNG TIMUR
18.07.17,MELINTING,KAB. LAMPUNG TIMUR
18.07.18,GUNUNG PELINDUNG,KAB. LAMPUNG TIMUR
18.07.19,PASIR SAKTI,KAB. LAMPUNG TIMUR
18.07.20,WAWAY KARYA,KAB. LAMPUNG TIMUR
18.07.21,LABUHAN RATU,KAB. LAMPUNG TIMUR
18.07.22,BRAJA SELEBAH,KAB. LAMPUNG TIMUR
18.07.23,WAY BUNGUR,KAB. LAMPUNG TIMUR
18.07.24,MARGA SEKAMPUNG,KAB. LAMPUNG TIMUR
18.08.01,BLAMBANGAN UMPU,KAB. WAY KANAN
18.08.02,KASUI,KAB. WAY KANAN
18.08.03,BANJIT,KAB. WAY KANAN
18.08.04,BARADATU,KAB. WAY KANAN
18.08.05,BAHUGA,KAB. WAY KANAN
18.08.06,PAKUAN RATU,KAB. WAY KANAN
18.08.07,NEGERI AGUNG,KAB. WAY KANAN
18.08.08,WAY TUBA,KAB. WAY KANAN
18.08.09,REBANG TANGKAS,KAB. WAY KANAN
18.08.10,GUNUNG LABUHAN,KAB. WAY KANAN
18.08.11,NEGARA BATIN,KAB. WAY KANAN
18.08.12,NEGERI BESAR,KAB. WAY KANAN
18.08.13,BUAY BAHUGA,KAB. WAY KANAN
18.08.14,BUMI AGUNG,KAB. WAY KANAN
18.08.15,UMPU SEMENGUK,KAB. WAY KANAN
18.09.01,GEDONG TATAAN,KAB. PESAWARAN
18.09.02,NEGERI KATON,KAB. PESAWARAN
18.09.03,TEGINENENG,KAB. PESAWARAN
18.09.04,WAY LIMA,KAB. PESAWARAN
18.09.05,PADANG CERMIN,KAB. PESAWARAN
18.09.06,PUNDUH PIDADA,KAB. PESAWARAN
18.09.07,KEDONDONG,KAB. PESAWARAN
18.09.08,MARGA PUNDUH,KAB. PESAWARAN
18.09.09,WAY KHILAU,KAB. PESAWARAN
18.09.10,TELUK PANDAN,KAB. PESAWARAN
18.09.11,WAY RATAI,KAB. PESAWARAN
18.10.01,PRINGSEWU,KAB. PRINGSEWU
18.10.02,GADING REJO,KAB. PRINGSEWU
18.10.03,AMBARAWA,KAB. PRINGSEWU
18.10.04,PARDASUKA,KAB. PRINGSEWU
18.10.05,PAGELARAN,KAB. PRINGSEWU
18.10.06,BANYUMAS,KAB. PRINGSEWU
18.10.07,ADILUWIH,KAB. PRINGSEWU
18.10.08,SUKOHARJO,KAB. PRINGSEWU
18.10.09,PAGELARAN UTARA,KAB. PRINGSEWU
18.11.01,MESUJI,KAB. MESUJI
18.11.02,MESUJI TIMUR,KAB. MESUJI
18.11.03,RAWA JITU UTARA,KAB. MESUJI
18.11.04,WAY SERDANG,KAB. MESUJI
18.11.05,SIMPANG PEMATANG,KAB. MESUJI
18.11.06,PANCA JAYA,KAB. MESUJI
18.11.07,TANJUNG RAYA,KAB. MESUJI
18.12.01,TULANG BAWANG TENGAH,KAB. TULANG BAWANG BARAT
18.12.02,TUMIJAJAR,KAB. TULANG BAWANG BARAT
18.12.03,TULANG BAWANG UDIK,KAB. TULANG BAWANG BARAT
18.12.04,GUNUNG TERANG,KAB. TULANG BAWANG BARAT
18.12.05,GUNUNG AGUNG,KAB. TULANG BAWANG BARAT
18.12.06,WAY KENANGA,KAB. TULANG BAWANG BARAT
18.12.07,LAMBU KIBANG,KAB. TULANG BAWANG BARAT
18.12.08,PAGAR DEWA,KAB. TULANG BAWANG BARAT
18.12.09,BATU PUTIH,KAB. TULANG BAWANG BARAT
18.13.01,PESISIR TENGAH,KAB. PESISIR BARAT
18.13.02,PESISIR SELATAN,KAB. PESISIR BARAT
18.13.03,LEMONG,KAB. PESISIR BARAT
18.13.04,PESISIR UTARA,KAB. PESISIR BARAT
18.13.05,KARYA PENGGAWA,KAB. PESISIR BARAT
18.13.06,PULAUPISANG,KAB. PESISIR BARAT
18.13.07,WAY KRUI,KAB. PESISIR BARAT
18.13.08,KRUI SELATAN,KAB. PESISIR BARAT
18.13.09,NGAMBUR,KAB. PESISIR BARAT
18.13.10,NGARAS,KAB. PESISIR BARAT
18.13.11,BANGKUNAT,KAB. PESISIR BARAT
18.71.01,KEDATON,KOTA BANDAR LAMPUNG
18.71.02,SUKARAME,KOTA BANDAR LAMPUNG
18.71.03,TANJUNGKARANG BARAT,KOTA BANDAR LAMPUNG
18.71.04,PANJANG,KOTA BANDAR LAMPUNG
18.71.05,TANJUNGKARANG TIMUR,KOTA BANDAR LAMPUNG
18.71.06,TANJUNGKARANG PUSAT,KOTA BANDAR LAMPUNG
18.71.07,TELUKBETUNG SELATAN,KOTA BANDAR LAMPUNG
18.71.08,TELUKBETUNG BARAT,KOTA BANDAR LAMPUNG
18.71.09,TELUKBETUNG UTARA,KOTA BANDAR LAMPUNG
18.71.10,RAJABASA,KOTA BANDAR LAMPUNG
18.71.11,TANJUNG SENANG,KOTA BANDAR LAMPUNG
18.71.12,SUKABUMI,KOTA BANDAR LAMPUNG
18.71.13,KEMILING,KOTA BANDAR LAMPUNG
18.71.14,LABUHAN RATU,KOTA BANDAR LAMPUNG
18.71.15,WAY HALIM,KOTA BANDAR LAMPUNG
18.71.16,LANGKAPURA,KOTA BANDAR LAMPUNG
18.71.17,ENGGAL,KOTA BANDAR LAMPUNG
18.71.18,KEDAMAIAN,KOTA BANDAR LAMPUNG
18.71.19,TELUKBETUNG TIMUR,KOTA BANDAR LAMPUNG
18.71.20,BUMI WARAS,KOTA BANDAR LAMPUNG
18.72.01,METRO PUSAT,KOTA METRO
18.72.02,METRO UTARA,KOTA METRO
18.72.03,METRO BARAT,KOTA METRO
18.72.04,METRO TIMUR,KOTA METRO
18.72.05,METRO SELATAN,KOTA METRO
19.01.01,SUNGAILIAT,KAB. BANGKA
19.01.02,BELINYU,KAB. BANGKA
19.01.03,MERAWANG,KAB. BANGKA
19.01.04,MENDO BARAT,KAB. BANGKA
19.01.05,PEMALI,KAB. BANGKA
19.01.06,BAKAM,KAB. BANGKA
19.01.07,RIAU SILIP,KAB. BANGKA
19.01.08,PUDING BESAR,KAB. BANGKA
19.02.01,TANJUNG PANDAN,KAB. BELITUNG
19.02.02,MEMBALONG,KAB. BELITUNG
19.02.03,SELAT NASIK,KAB. BELITUNG
19.02.04,SIJUK,KAB. BELITUNG
19.02.05,BADAU,KAB. BELITUNG
19.03.01,TOBOALI,KAB. BANGKA SELATAN
19.03.02,LEPAR PONGOK,KAB. BANGKA SELATAN
19.03.03,AIR GEGAS,KAB. BANGKA SELATAN
19.03.04,SIMPANG RIMBA,KAB. BANGKA SELATAN
19.03.05,PAYUNG,KAB. BANGKA SELATAN
19.03.06,TUKAK SADAI,KAB. BANGKA SELATAN
19.03.07,PULAUBESAR,KAB. BANGKA SELATAN
19.03.08,KEPULAUAN PONGOK,KAB. BANGKA SELATAN
19.04.01,KOBA,KAB. BANGKA TENGAH
19.04.02,PANGKALAN BARU,KAB. BANGKA TENGAH
19.04.03,SUNGAI SELAN,KAB. BANGKA TENGAH
19.04.04,SIMPANG KATIS,KAB. BANGKA TENGAH
19.04.05,NAMANG,KAB. BANGKA TENGAH
19.04.06,LUBUK BESAR,KAB. BANGKA TENGAH
19.05.01,MENTOK,KAB. BANGKA BARAT
19.05.02,SIMPANG TERITIP,KAB. BANGKA BARAT
19.05.03,JEBUS,KAB. BANGKA BARAT
19.05.04,KELAPA,KAB. BANGKA BARAT
19.05.05,TEMPILANG,KAB. BANGKA BARAT
19.05.06,PARITTIGA,KAB. BANGKA BARAT
19.06.01,MANGGAR,KAB. BELITUNG TIMUR
19.06.02,GANTUNG,KAB. BELITUNG TIMUR
19.06.03,DENDANG,KAB. BELITUNG TIMUR
19.06.04,KELAPA KAMPIT,KAB. BELITUNG TIMUR
19.06.05,DAMAR,KAB. BELITUNG TIMUR
19.06.06,SIMPANG RENGGIANG,KAB. BELITUNG TIMUR
19.06.07,SIMPANG PESAK,KAB. BELITUNG TIMUR
19.71.01,BUKITINTAN,KOTA PANGKAL PINANG
19.71.02,TAMAN SARI,KOTA PANGKAL PINANG
19.71.03,PANGKAL BALAM,KOTA PANGKAL PINANG
19.71.04,RANGKUI,KOTA PANGKAL PINANG
19.71.05,GERUNGGANG,KOTA PANGKAL PINANG
19.71.06,GABEK,KOTA PANGKAL PINANG
19.71.07,GIRIMAYA,KOTA PANGKAL PINANG
21.01.04,GUNUNG KIJANG,KAB. BINTAN
21.01.06,BINTAN TIMUR,KAB. BINTAN
21.01.07,BINTAN UTARA,KAB. BINTAN
21.01.08,TELUK BINTAN,KAB. BINTAN
21.01.09,TAMBELAN,KAB. BINTAN
21.01.10,TELOK SEBONG,KAB. BINTAN
21.01.12,TOAPAYA,KAB. BINTAN
21.01.13,MANTANG,KAB. BINTAN
21.01.14,BINTAN PESISIR,KAB. BINTAN
21.01.15,SERI KUALA LOBAM,KAB. BINTAN
21.02.01,MORO,KAB. KARIMUN
21.02.02,KUNDUR,KAB. KARIMUN
21.02.03,KARIMUN,KAB. KARIMUN
21.02.04,MERAL,KAB. KARIMUN
21.02.05,TEBING,KAB. KARIMUN
21.02.06,BURU,KAB. KARIMUN
21.02.07,KUNDUR UTARA,KAB. KARIMUN
21.02.08,KUNDUR BARAT,KAB. KARIMUN
21.02.09,DURAI,KAB. KARIMUN
21.02.10,MERAL BARAT,KAB. KARIMUN
21.02.11,UNGAR,KAB. KARIMUN
21.02.12,BELAT,KAB. KARIMUN
21.02.13,SELAT GELAM,KAB. KARIMUN
21.02.14,SUGIE BESAR,KAB. KARIMUN
21.03.04,MIDAI,KAB. NATUNA
21.03.05,BUNGURAN BARAT,KAB. NATUNA
21.03.06,SERASAN,KAB. NATUNA
21.03.07,BUNGURAN TIMUR,KAB. NATUNA
21.03.08,BUNGURAN UTARA,KAB. NATUNA
21.03.09,SUBI,KAB. NATUNA
21.03.10,PULAU LAUT,KAB. NATUNA
21.03.11,PULAU TIGA,KAB. NATUNA
21.03.15,BUNGURAN TIMUR LAUT,KAB. NATUNA
21.03.16,BUNGURAN TENGAH,KAB. NATUNA
21.03.18,BUNGURAN SELATAN,KAB. NATUNA
21.03.19,SERASAN TIMUR,KAB. NATUNA
21.03.20,BUNGURAN BATUBI,KAB. NATUNA
21.03.21,PULAU TIGA BARAT,KAB. NATUNA
21.03.22,SUAK MIDAI,KAB. NATUNA
21.03.23,PULAU PANJANG,KAB. NATUNA
21.03.24,PULAU SELUAN,KAB. NATUNA
21.04.01,SINGKEP,KAB. LINGGA
21.04.02,LINGGA,KAB. LINGGA
21.04.03,SENAYANG,KAB. LINGGA
21.04.04,SINGKEP BARAT,KAB. LINGGA
21.04.05,LINGGA UTARA,KAB. LINGGA
21.04.06,SINGKEP PESISIR,KAB. LINGGA
21.04.07,LINGGA TIMUR,KAB. LINGGA
21.04.08,SELAYAR,KAB. LINGGA
21.04.09,SINGKEP SELATAN,KAB. LINGGA
21.04.10,KEPULAUAN POSEK,KAB. LINGGA
21.04.11,KATANG BIDARE,KAB. LINGGA
21.04.12,TEMIANG PESISIR,KAB. LINGGA
21.04.13,BAKUNG SERUMPUN,KAB. LINGGA
21.05.01,SIANTAN,KAB. KEPULAUAN ANAMBAS
21.05.02,PALMATAK,KAB. KEPULAUAN ANAMBAS
21.05.03,SIANTAN TIMUR,KAB. KEPULAUAN ANAMBAS
21.05.04,SIANTAN SELATAN,KAB. KEPULAUAN ANAMBAS
21.05.05,JEMAJA TIMUR,KAB. KEPULAUAN ANAMBAS
21.05.06,JEMAJA,KAB. KEPULAUAN ANAMBAS
21.05.07,SIANTAN TENGAH,KAB. KEPULAUAN ANAMBAS
21.05.08,SIANTAN UTARA,KAB. KEPULAUAN ANAMBAS
21.05.09,JEMAJA BARAT,KAB. KEPULAUAN ANAMBAS
21.05.10,KUTE SIANTAN,KAB. KEPULAUAN ANAMBAS
21.71.01,BELAKANG PADANG,KOTA BATAM
21.71.02,BATU AMPAR,KOTA BATAM
21.71.03,SEKUPANG,KOTA BATAM
21.71.04,NONGSA,KOTA BATAM
21.71.05,BULANG,KOTA BATAM
21.71.06,LUBUK BAJA,KOTA BATAM
21.71.07,SEI BEDUK,KOTA BATAM
21.71.08,GALANG,KOTA BATAM
21.71.09,BENGKONG,KOTA BATAM
21.71.10,BATAM KOTA,KOTA BATAM
21.71.11,SAGULUNG,KOTA BATAM
21.71.12,BATU AJI,KOTA BATAM
21.72.01,TANJUNG PINANG BARAT,KOTA TANJUNG PINANG
21.72.02,TANJUNG PINANG TIMUR,KOTA TANJUNG PINANG
21.72.03,TANJUNG PINANG KOTA,KOTA TANJUNG PINANG
21.72.04,BUKIT BESTARI,KOTA TANJUNG PINANG
31.01.01,KEPULAUAN SERIBU UTARA,KAB. ADM. KEP. SERIBU
31.01.02,KEPULAUAN SERIBU SELATAN.,KAB. ADM. KEP. SERIBU
31.71.01,GAMBIR,KOTA ADM. JAKARTA PUSAT
31.71.02,SAWAH BESAR,KOTA ADM. JAKARTA PUSAT
31.71.03,KEMAYORAN,KOTA ADM. JAKARTA PUSAT
31.71.04,SENEN,KOTA ADM. JAKARTA PUSAT
31.71.05,CEMPAKA PUTIH,KOTA ADM. JAKARTA PUSAT
31.71.06,MENTENG,KOTA ADM. JAKARTA PUSAT
31.71.07,TANAH ABANG,KOTA ADM. JAKARTA PUSAT
31.71.08,JOHAR BARU,KOTA ADM. JAKARTA PUSAT
31.72.01,PENJARINGAN,KOTA ADM. JAKARTA UTARA
31.72.02,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA
31.72.03,KOJA,KOTA ADM. JAKARTA UTARA
31.72.04,CILINCING,KOTA ADM. JAKARTA UTARA
31.72.05,PADEMANGAN,KOTA ADM. JAKARTA UTARA
31.72.06,KELAPA GADING,KOTA ADM. JAKARTA UTARA
31.73.01,CENGKARENG,KOTA ADM. JAKARTA BARAT
31.73.02,GROGOL PETAMBURAN,KOTA ADM. JAKARTA BARAT
31.73.03,TAMAN SARI,KOTA ADM. JAKARTA BARAT
31.73.04,TAMBORA,KOTA ADM. JAKARTA BARAT
31.73.05,KEBON JERUK,KOTA ADM. JAKARTA BARAT
31.73.06,KALIDERES,KOTA ADM. JAKARTA BARAT
31.73.07,PALMERAH,KOTA ADM. JAKARTA BARAT
31.73.08,KEMBANGAN,KOTA ADM. JAKARTA BARAT
31.74.01,TEBET,KOTA ADM. JAKARTA SELATAN
31.74.02,SETIABUDI,KOTA ADM. JAKARTA SELATAN
31.74.03,MAMPANG PRAPATAN,KOTA ADM. JAKARTA SELATAN
31.74.04,PASAR MINGGU,KOTA ADM. JAKARTA SELATAN
31.74.05,KEBAYORAN LAMA,KOTA ADM. JAKARTA SELATAN
31.74.06,CILANDAK,KOTA ADM. JAKARTA SELATAN
31.74.07,KEBAYORAN BARU,KOTA ADM. JAKARTA SELATAN
31.74.08,PANCORAN,KOTA ADM. JAKARTA SELATAN
31.74.09,JAGAKARSA,KOTA ADM. JAKARTA SELATAN
31.74.10,PESANGGRAHAN,KOTA ADM. JAKARTA SELATAN
31.75.01,MATRAMAN,KOTA ADM. JAKARTA TIMUR
31.75.02,PULOGADUNG,KOTA ADM. JAKARTA TIMUR
31.75.03,JATINEGARA,KOTA ADM. JAKARTA TIMUR
31.75.04,KRAMATJATI,KOTA ADM. JAKARTA TIMUR
31.75.05,PASAR REBO,KOTA ADM. JAKARTA TIMUR
31.75.06,CAKUNG,KOTA ADM. JAKARTA TIMUR
31.75.07,DUREN SAWIT,KOTA ADM. JAKARTA TIMUR
31.75.08,MAKASAR,KOTA ADM. JAKARTA TIMUR
31.75.09,CIRACAS,KOTA ADM. JAKARTA TIMUR
31.75.10,CIPAYUNG,KOTA ADM. JAKARTA TIMUR
32.01.01,CIBINONG,KAB. BOGOR
32.01.02,GUNUNG PUTRI,KAB. BOGOR
32.01.03,CITEUREUP,KAB. BOGOR
32.01.04,SUKARAJA,KAB. BOGOR
32.01.05,BABAKAN MADANG,KAB. BOGOR
